DATE: 2019-03-05 22:02:00.555218 | URL: https://yle.fi/uutiset/osasto/news/ | STATUS: [200] Page OK. | RESPONSE TIME: 0:00:00.181444 |                        OTHER INFO: includes_expression 'About us': True 
DATE: 2019-03-05 22:02:00.925441 | URL: https://www.aalto.fi/ | STATUS: [200] Page OK. | RESPONSE TIME: 0:00:00.145539 |                        OTHER INFO: includes_expression 'About us': False 
DATE: 2019-03-05 22:02:01.330037 | URL: https://www.amica.fi/en/about-us/ | STATUS: [200] Page OK. | RESPONSE TIME: 0:00:00.181134 |                        OTHER INFO: includes_expression 'About us': True 
DATE: 2019-03-05 22:02:01.484487 | URL: https://www.greenwichtime.com/ | STATUS: [None] HTTP error. | RESPONSE TIME: None |                        OTHER INFO: includes_expression 'About us': None 
DATE: 2019-03-05 22:02:01.926549 | URL: https://yle.fi/uutiset/osasto/news/ | STATUS: [200] Page OK. | RESPONSE TIME: 0:00:00.165851 |                        OTHER INFO: includes_expression 'About us': True 
DATE: 2019-03-05 22:02:02.308168 | URL: https://www.aalto.fi/ | STATUS: [200] Page OK. | RESPONSE TIME: 0:00:00.127594 |                        OTHER INFO: includes_expression 'About us': False 
DATE: 2019-03-05 22:02:02.630792 | URL: https://www.amica.fi/en/about-us/ | STATUS: [200] Page OK. | RESPONSE TIME: 0:00:00.168739 |                        OTHER INFO: includes_expression 'About us': True 
DATE: 2019-03-05 22:02:02.763095 | URL: https://www.greenwichtime.com/ | STATUS: [None] HTTP error. | RESPONSE TIME: None |                        OTHER INFO: includes_expression 'About us': None 
DATE: 2019-03-05 22:02:03.235320 | URL: https://yle.fi/uutiset/osasto/news/ | STATUS: [200] Page OK. | RESPONSE TIME: 0:00:00.170548 |                        OTHER INFO: includes_expression 'About us': True 
DATE: 2019-03-05 22:02:03.595071 | URL: https://www.aalto.fi/ | STATUS: [200] Page OK. | RESPONSE TIME: 0:00:00.131971 |                        OTHER INFO: includes_expression 'About us': False 
DATE: 2019-03-05 22:02:04.008866 | URL: https://www.amica.fi/en/about-us/ | STATUS: [200] Page OK. | RESPONSE TIME: 0:00:00.178357 |                        OTHER INFO: includes_expression 'About us': True 
DATE: 2019-03-05 22:02:04.132526 | URL: https://www.greenwichtime.com/ | STATUS: [None] HTTP error. | RESPONSE TIME: None |                        OTHER INFO: includes_expression 'About us': None 
DATE: 2019-03-05 22:02:04.634294 | URL: https://yle.fi/uutiset/osasto/news/ | STATUS: [200] Page OK. | RESPONSE TIME: 0:00:00.232551 |                        OTHER INFO: includes_expression 'About us': True 
DATE: 2019-03-05 22:02:05.008250 | URL: https://www.aalto.fi/ | STATUS: [200] Page OK. | RESPONSE TIME: 0:00:00.130859 |                        OTHER INFO: includes_expression 'About us': False 
DATE: 2019-03-05 22:02:05.414553 | URL: https://www.amica.fi/en/about-us/ | STATUS: [200] Page OK. | RESPONSE TIME: 0:00:00.176303 |                        OTHER INFO: includes_expression 'About us': True 
DATE: 2019-03-05 22:02:05.543293 | URL: https://www.greenwichtime.com/ | STATUS: [None] HTTP error. | RESPONSE TIME: None |                        OTHER INFO: includes_expression 'About us': None 
DATE: 2019-03-05 22:02:06.044056 | URL: https://yle.fi/uutiset/osasto/news/ | STATUS: [200] Page OK. | RESPONSE TIME: 0:00:00.223539 |                        OTHER INFO: includes_expression 'About us': True 
DATE: 2019-03-05 22:02:06.400156 | URL: https://www.aalto.fi/ | STATUS: [200] Page OK. | RESPONSE TIME: 0:00:00.133790 |                        OTHER INFO: includes_expression 'About us': False 
DATE: 2019-03-05 22:02:06.804394 | URL: https://www.amica.fi/en/about-us/ | STATUS: [200] Page OK. | RESPONSE TIME: 0:00:00.178032 |                        OTHER INFO: includes_expression 'About us': True 
DATE: 2019-03-05 22:02:06.930885 | URL: https://www.greenwichtime.com/ | STATUS: [None] HTTP error. | RESPONSE TIME: None |                        OTHER INFO: includes_expression 'About us': None 
DATE: 2019-03-05 22:02:07.369602 | URL: https://yle.fi/uutiset/osasto/news/ | STATUS: [200] Page OK. | RESPONSE TIME: 0:00:00.184034 |                        OTHER INFO: includes_expression 'About us': True 
DATE: 2019-03-05 22:02:07.735162 | URL: https://www.aalto.fi/ | STATUS: [200] Page OK. | RESPONSE TIME: 0:00:00.131274 |                        OTHER INFO: includes_expression 'About us': False 
DATE: 2019-03-05 22:02:08.116479 | URL: https://www.amica.fi/en/about-us/ | STATUS: [200] Page OK. | RESPONSE TIME: 0:00:00.174970 |                        OTHER INFO: includes_expression 'About us': True 
DATE: 2019-03-05 22:02:08.243038 | URL: https://www.greenwichtime.com/ | STATUS: [None] HTTP error. | RESPONSE TIME: None |                        OTHER INFO: includes_expression 'About us': None 
DATE: 2019-03-05 22:02:08.759115 | URL: https://yle.fi/uutiset/osasto/news/ | STATUS: [200] Page OK. | RESPONSE TIME: 0:00:00.200595 |                        OTHER INFO: includes_expression 'About us': True 
DATE: 2019-03-05 22:02:09.120444 | URL: https://www.aalto.fi/ | STATUS: [200] Page OK. | RESPONSE TIME: 0:00:00.131562 |                        OTHER INFO: includes_expression 'About us': False 
DATE: 2019-03-05 22:02:09.513605 | URL: https://www.amica.fi/en/about-us/ | STATUS: [200] Page OK. | RESPONSE TIME: 0:00:00.177610 |                        OTHER INFO: includes_expression 'About us': True 
DATE: 2019-03-05 22:02:09.639679 | URL: https://www.greenwichtime.com/ | STATUS: [None] HTTP error. | RESPONSE TIME: None |                        OTHER INFO: includes_expression 'About us': None 
DATE: 2019-03-05 22:02:10.044764 | URL: https://yle.fi/uutiset/osasto/news/ | STATUS: [200] Page OK. | RESPONSE TIME: 0:00:00.165195 |                        OTHER INFO: includes_expression 'About us': True 
DATE: 2019-03-05 22:02:10.421320 | URL: https://www.aalto.fi/ | STATUS: [200] Page OK. | RESPONSE TIME: 0:00:00.131913 |                        OTHER INFO: includes_expression 'About us': False 
DATE: 2019-03-05 22:02:10.856880 | URL: https://www.amica.fi/en/about-us/ | STATUS: [200] Page OK. | RESPONSE TIME: 0:00:00.206513 |                        OTHER INFO: includes_expression 'About us': True 
DATE: 2019-03-05 22:02:10.983937 | URL: https://www.greenwichtime.com/ | STATUS: [None] HTTP error. | RESPONSE TIME: None |                        OTHER INFO: includes_expression 'About us': None 
DATE: 2019-03-05 22:02:11.444139 | URL: https://yle.fi/uutiset/osasto/news/ | STATUS: [200] Page OK. | RESPONSE TIME: 0:00:00.175347 |                        OTHER INFO: includes_expression 'About us': True 
